network,mode,N,E,diam_uw,diam_w,asp_uw,asp_w,gamma,alpha,deg_avg,deg_sd,deg_max,deg_min,close_uw_avg,close_uw_sd,close_uw_max,close_uw_min,close_w_avg,close_w_sd,close_w_max,close_w_min,betw_uw_avg,betw_uw_sd,betw_uw_max,betw_uw_min,betw_w_avg,betw_w_sd,betw_w_max,betw_w_min
Basel,Tram,183.0,389.0,40.0,3857.42,14.33,1236.38,0.3646,0.0443,0.0234,0.0071,0.0549,0.011,0.0751,0.0198,0.1164,0.0391,0.0009,0.0002,0.0013,0.0004,0.0736,0.0718,0.3747,0.0,0.0747,0.069,0.3479,0.0
Berlin (Metro),Subway,174.0,374.0,46.0,4398.75,14.29,1315.96,0.719,0.5773,0.0248,0.0088,0.0694,0.0116,0.0745,0.0172,0.1042,0.0358,0.0008,0.0002,0.0012,0.0004,0.0773,0.0659,0.3187,0.0,0.0776,0.067,0.3125,0.0
Berlin (Sbahn),Rail,167.0,179.0,35.0,4774.42,13.26,1596.86,0.3616,0.0395,0.0129,0.0042,0.0361,0.006,0.0788,0.016,0.1096,0.043,0.00067,0.00016,0.00094,0.00032,0.07432,0.07299,0.43917,0.0,0.0753,0.0712,0.438,0.0
Bern,Rail,132.0,304.0,24.0,5835.31,9.57,2157.28,0.7795,0.668,0.0352,0.0137,0.1221,0.0153,0.1119,0.0294,0.184,0.0635,0.00049,0.00012,0.00027,0.00077,0.0659,0.0882,0.69168,0.0,0.0712,0.0856,0.5796,0.0
Bremen,Tram,166.0,357.0,48.0,3686.6,17.17,1411.39,0.7256,0.5872,0.0261,0.0076,0.0727,0.0121,0.0636,0.0178,0.0984,0.0295,0.00076,0.0002,0.00117,0.00038,0.09862,0.09562,0.45876,0.0,0.0994,0.0935,0.4576,0.0
Brussels,Rail,128.0,138.0,32.0,6526.0,12.86,2469.0,0.3651,0.0438,0.034,0.01,0.079,0.016,0.082,0.018,0.119,0.052,0.00043,0.0001,0.00062,0.00023,0.094,0.077,0.352,0.0,0.095,0.076,0.338,0.0
Chicago,Subway,142.0,293.0,39.0,5017.97,15.56,1971.45,0.6976,0.5448,0.0293,0.0085,0.078,0.0142,0.0683,0.017,0.1083,0.0385,0.00049,0.00012,0.00077,0.00029,0.10414,0.1128,0.6405,0.0,0.1062,0.1129,0.6431,0.0
Copenhagen,Rail,87.0,179.0,35.0,4906.8,13.3,1594.85,0.702,0.5503,0.0478,0.0129,0.093,0.0233,0.0806,0.0203,0.1161,0.0456,0.00069,0.00019,0.00102,0.00034,0.14476,0.09897,0.47259,0.0,0.146,0.1248,0.5839,0.0
Freiburg,Tram,167.0,195.0,22.0,1920.0,9.72,912.04,0.39,0.088,0.0141,0.0051,0.0361,0.006,0.1074,0.022,0.1595,0.0647,0.00114,0.00022,0.00167,0.00078,0.05285,0.04702,0.26146,0.0,,0.0472,0.3069,0.0
Gdansk,Tram,130.0,263.0,41.0,4198.75,16.14,1588.5,0.7898,0.6833,0.0314,0.0094,0.062,0.0155,0.0657,0.016,0.0971,0.0388,0.0007,0.0002,0.001,0.0004,0.1183,0.088,0.5002,0.0,0.1186,0.0867,0.4855,0.0
