,stop_name,deg_L,close_L_uw,close_L_w,between_L_uw,between_L_w,deg_P,close_P_uw,close_P_w,between_P_uw,between_P_w
0,Skalka,0.03571428571428571,0.0989399293286219,0.0010250756846808683,0.03571428571428571,0.03571428571428571,0.26785714285714285,0.5773195876288659,0.2521940397305394,0.0,0.0
1,Strašnická,0.03571428571428571,0.10916179337231968,0.0011897363595552372,0.07012987012987013,0.07012987012987013,0.26785714285714285,0.5773195876288659,0.2521940397305394,0.0,0.0
2,Želivského,0.03571428571428571,0.12121212121212122,0.0013344476120925575,0.10324675324675325,0.10324675324675325,0.26785714285714285,0.5773195876288659,0.2521940397305394,0.0,0.0
3,Flora,0.03571428571428571,0.13559322033898305,0.0014674590671123209,0.13506493506493505,0.13506493506493505,0.26785714285714285,0.5773195876288659,0.2521940397305394,0.0,0.0
4,Náměstí Míru,0.03571428571428571,0.15300546448087432,0.0018567486996263337,0.16558441558441558,0.16558441558441558,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
5,Muzeum,0.07142857142857142,0.17445482866043613,0.002099708095429585,0.4681818181818182,0.4681818181818182,0.6071428571428571,0.717948717948718,0.3390532859595909,0.17402597402597403,0.17272727272727273
6,Můstek,0.07142857142857142,0.17665615141955837,0.002125479645005285,0.5409090909090909,0.5409090909090909,0.6785714285714285,0.7567567567567568,0.3446232712286328,0.21168831168831168,0.2
7,Staroměstská,0.03571428571428571,0.1564245810055866,0.001923240604391152,0.22272727272727272,0.22272727272727272,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
8,Malostranská,0.03571428571428571,0.1396508728179551,0.001754797084237258,0.19480519480519481,0.19480519480519481,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
9,Hradčanská,0.03571428571428571,0.12556053811659193,0.0015971469623971561,0.16558441558441558,0.16558441558441558,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
10,Dejvická,0.03571428571428571,0.11359026369168357,0.0014645308700056688,0.13506493506493505,0.13506493506493505,0.26785714285714285,0.5773195876288659,0.25273920951674,0.0,0.0
11,Bořislavka,0.03571428571428571,0.1033210332103321,0.0012485368545433557,0.10324675324675325,0.10324675324675325,0.26785714285714285,0.5773195876288659,0.25222876752245266,0.0,0.0
12,Nádraží Veleslavín,0.03571428571428571,0.09443507588532883,0.0011413968430117947,0.07012987012987013,0.07012987012987013,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
13,Petřiny,0.03571428571428571,0.08668730650154799,0.0010427725599793402,0.03571428571428571,0.03571428571428571,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
14,Nemocnice Motol,0.017857142857142856,0.07988587731811697,0.0009393075380850202,0.0,0.0,0.26785714285714285,0.5773195876288659,0.25277408762398507,0.0,0.0
15,Depo Hostivař,0.017857142857142856,0.09017713365539452,0.0009171457851258134,0.0,0.0,0.26785714285714285,0.5773195876288659,0.18335457618675016,0.0,0.0
16,Zličín,0.017857142857142856,0.06627218934911243,0.0007805749000998142,0.0,0.0,0.4107142857142857,0.6292134831460674,0.2845910513274278,0.0,0.0
17,Stodůlky,0.03571428571428571,0.07088607594936709,0.0008453851764013193,0.03571428571428571,0.03571428571428571,0.4107142857142857,0.6292134831460674,0.2845910513274278,0.0,0.0
18,Luka,0.03571428571428571,0.07598371777476255,0.0009031967547368942,0.07012987012987013,0.07012987012987013,0.4107142857142857,0.6292134831460674,0.2845910513274278,0.0,0.0
19,Lužiny,0.03571428571428571,0.08163265306122448,0.0009500866183110951,0.10324675324675325,0.10324675324675325,0.4107142857142857,0.6292134831460674,0.2845910513274278,0.0,0.0
20,Hůrka,0.03571428571428571,0.08791208791208792,0.0010269200817457434,0.13506493506493505,0.13506493506493505,0.4107142857142857,0.6292134831460674,0.2850554233132717,0.0,0.0
21,Nové Butovice,0.03571428571428571,0.09491525423728814,0.0010878646045374165,0.16558441558441558,0.16558441558441558,0.4107142857142857,0.6292134831460674,0.28632848066692257,0.0,0.0
22,Jinonice,0.03571428571428571,0.10275229357798166,0.001192072862172053,0.19480519480519481,0.19480519480519481,0.4107142857142857,0.6292134831460674,0.28632848066692257,0.0,0.0
23,Radlická,0.03571428571428571,0.11155378486055777,0.0013121823824557453,0.22272727272727272,0.22272727272727272,0.4107142857142857,0.6292134831460674,0.28632848066692257,0.0,0.0
24,Smíchovské nádraží,0.03571428571428571,0.12147505422993492,0.0015160952082509775,0.24935064935064935,0.24935064935064935,0.4107142857142857,0.6292134831460674,0.28692453684265107,0.0,0.0
25,Anděl,0.03571428571428571,0.13270142180094788,0.0016752927161115848,0.2746753246753247,0.2746753246753247,0.4107142857142857,0.6292134831460674,0.2873202284546309,0.0,0.0
26,Karlovo náměstí,0.03571428571428571,0.14545454545454545,0.0018606509182311336,0.2987012987012987,0.2987012987012987,0.4107142857142857,0.6292134831460674,0.2873202284546309,0.0,0.0
27,Národní třída,0.03571428571428571,0.16,0.002000214718989129,0.32142857142857145,0.32142857142857145,0.4107142857142857,0.6292134831460674,0.2873202284546309,0.0,0.0
28,Náměstí Republiky,0.03571428571428571,0.1661721068249258,0.0020168335144831358,0.2318181818181818,0.2318181818181818,0.4107142857142857,0.6292134831460674,0.28750608483554724,0.0,0.0
29,Florenc,0.07142857142857142,0.16422287390029325,0.002009685816005973,0.45714285714285713,0.45714285714285713,0.75,0.8,0.37438608797016204,0.2701298701298701,0.2831168831168831
30,Křižíkova,0.03571428571428571,0.14736842105263157,0.001807323085666077,0.24935064935064935,0.24935064935064935,0.4107142857142857,0.6292134831460674,0.28750608483554724,0.0,0.0
31,Invalidovna,0.03571428571428571,0.1330166270783848,0.0016343182496921433,0.22272727272727272,0.22272727272727272,0.4107142857142857,0.6292134831460674,0.28755530844442884,0.0,0.0
32,Palmovka,0.03571428571428571,0.1206896551724138,0.0014684652804329824,0.19480519480519481,0.19480519480519481,0.4107142857142857,0.6292134831460674,0.28755530844442884,0.0,0.0
33,Českomoravská,0.03571428571428571,0.1100196463654224,0.0013274844332507802,0.16558441558441558,0.16558441558441558,0.4107142857142857,0.6292134831460674,0.28753069453328806,0.0,0.0
34,Vysočanská,0.03571428571428571,0.10071942446043165,0.0012354315685658983,0.13506493506493505,0.13506493506493505,0.4107142857142857,0.6292134831460674,0.28750608483554724,0.0,0.0
35,Kolbenova,0.03571428571428571,0.09256198347107437,0.0011370953261944435,0.10324675324675325,0.10324675324675325,0.4107142857142857,0.6292134831460674,0.28750608483554724,0.0,0.0
36,Hloubětín,0.03571428571428571,0.08536585365853659,0.0010285791300809755,0.07012987012987013,0.07012987012987013,0.4107142857142857,0.6292134831460674,0.28753069453328806,0.0,0.0
37,Rajská zahrada,0.03571428571428571,0.07898448519040903,0.0009275645169890065,0.03571428571428571,0.03571428571428571,0.4107142857142857,0.6292134831460674,0.28755530844442884,0.0,0.0
38,Černý Most,0.017857142857142856,0.07329842931937172,0.0008595413961392679,0.0,0.0,0.4107142857142857,0.6292134831460674,0.28755530844442884,0.0,0.0
39,Háje,0.017857142857142856,0.07170294494238157,0.0008511883528649471,0.0,0.0,0.33928571428571425,0.6021505376344086,0.2768674885804254,0.0,0.0
40,Opatov,0.03571428571428571,0.07713498622589532,0.0009246207261310927,0.03571428571428571,0.03571428571428571,0.33928571428571425,0.6021505376344086,0.27704740598830163,0.0,0.0
41,Chodov,0.03571428571428571,0.08320950965824665,0.0010132927010419878,0.07012987012987013,0.07012987012987013,0.33928571428571425,0.6021505376344086,0.2766551268185843,0.0,0.0
42,Roztyly,0.03571428571428571,0.09003215434083602,0.001105073247276284,0.10324675324675325,0.10324675324675325,0.33928571428571425,0.6021505376344086,0.2766551268185843,0.0,0.0
43,Kačerov,0.03571428571428571,0.09773123909249563,0.0012233652119185002,0.13506493506493505,0.13506493506493505,0.33928571428571425,0.6021505376344086,0.28826136978259087,0.0,0.0
44,Budějovická,0.03571428571428571,0.10646387832699619,0.0013254320570909737,0.16558441558441558,0.16558441558441558,0.33928571428571425,0.6021505376344086,0.28826136978259087,0.0,0.0
45,Pankrác,0.03571428571428571,0.11642411642411643,0.0014488863713247163,0.19480519480519481,0.19480519480519481,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
46,Pražského povstání,0.03571428571428571,0.1278538812785388,0.0015712517536045413,0.22272727272727272,0.22272727272727272,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
47,Vyšehrad,0.03571428571428571,0.14105793450881612,0.001708860575087202,0.24935064935064935,0.24935064935064935,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
48,I. P. Pavlova,0.03571428571428571,0.1564245810055866,0.001913851141430777,0.2746753246753247,0.2746753246753247,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
49,Hlavní nádraží,0.03571428571428571,0.16422287390029325,0.0020238761394164692,0.18766233766233767,0.18766233766233767,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
50,Vltavská,0.03571428571428571,0.14583333333333334,0.001752735795124891,0.19480519480519481,0.19480519480519481,0.33928571428571425,0.6021505376344086,0.28859687387825605,0.0,0.0
51,Nádraží Holešovice,0.03571428571428571,0.13053613053613053,0.0015752438229094297,0.16558441558441558,0.16558441558441558,0.33928571428571425,0.6021505376344086,0.28859687387825605,0.0,0.0
52,Kobylisy,0.03571428571428571,0.11764705882352941,0.001286172093930232,0.13506493506493505,0.13506493506493505,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
53,Ládví,0.03571428571428571,0.10666666666666667,0.001156068120359918,0.10324675324675325,0.10324675324675325,0.33928571428571425,0.6021505376344086,0.2883383568045564,0.0,0.0
54,Střížkov,0.03571428571428571,0.09722222222222222,0.0010409879309929446,0.07012987012987013,0.07012987012987013,0.33928571428571425,0.6021505376344086,0.28790583891625027,0.0,0.0
55,Prosek,0.03571428571428571,0.0890302066772655,0.0009649340865235714,0.03571428571428571,0.03571428571428571,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
56,Letňany,0.017857142857142856,0.08187134502923976,0.0008554835841052421,0.0,0.0,0.33928571428571425,0.6021505376344086,0.2883576099858538,0.0,0.0
